elemento,grupo,perfil,combo_axial,extremo_axial,material,Fy_kg_cm2,E_kg_cm2,A_cm2,b_ext_mm,b_flat_mm,t_mm,r_cm,lambda_pared,lambda_p,lambda_r,clasificacion_local,K,L_m,KL_r,limite_esbeltez,cumple_esbeltez,Pu_N,Tu_N,Pn_compresion_N,PR_compresion_N,Tn_fluencia_N,TR_tension_N,utilizacion_compresion,utilizacion_tension,utilizacion_control,estado_control,estado,observacion
367,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,132.27317857988558,200.0,True,77451.08993998857,77451.08993998857,157834.76915321653,142051.29223789487,506178.8325,455560.94925,0.5452332655325681,0.17001257475536038,0.5452332655325681,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
355,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,132.27317857988558,200.0,True,77046.9080606152,77046.9080606152,157834.76915321653,142051.29223789487,506178.8325,455560.94925,0.5423879420370488,0.1691253567441617,0.5423879420370488,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
356,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,132.27317857988558,200.0,True,66183.9679369692,66183.9679369692,157834.76915321653,142051.29223789487,506178.8325,455560.94925,0.46591598636167403,0.14528016074672187,0.46591598636167403,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
368,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,132.27317857988558,200.0,True,63947.251748293005,63947.251748293005,157834.76915321653,142051.29223789487,506178.8325,455560.94925,0.450170151505555,0.14037035407352358,0.450170151505555,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
358,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.203049488169275,123.61910259321395,200.0,True,72424.51551270418,72424.51551270418,180707.04585800372,162636.34127220337,506178.8325,455560.94925,0.44531569602569787,0.15897876152892002,0.44531569602569787,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
370,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.199809519490142,123.52380939676887,200.0,True,69189.32241954062,69189.32241954062,180985.96851104946,162887.37165994453,506178.8325,455560.94925,0.42476787312883446,0.1518772022348459,0.42476787312883446,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
468,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.497288071716109,132.27317857988555,200.0,True,55907.90926409395,55907.90926409395,157834.7691532166,142051.29223789493,506178.8325,455560.94925,0.3935755063070059,0.12272322585185663,0.3935755063070059,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
156,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,101.51891809742911,200.0,True,116600.1160699587,116600.1160699587,332652.98689453886,299387.688205085,665490.2895,598941.26055,0.3894619607406364,0.1946770472331232,0.3894619607406364,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
268,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,101.51891809742911,200.0,True,115863.7941695452,115863.7941695452,332652.98689453886,299387.688205085,665490.2895,598941.26055,0.3870025346205178,0.19344767475720237,0.3870025346205178,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
256,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,101.51891809742911,200.0,True,114954.24775931625,114954.24775931625,332652.98689453886,299387.688205085,665490.2895,598941.26055,0.3839645125305583,0.19192908442099188,0.3839645125305583,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
168,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,101.51891809742911,200.0,True,114777.37896002221,114777.37896002221,332652.98689453886,299387.688205085,665490.2895,598941.26055,0.3833737440846198,0.19163378200831185,0.3833737440846198,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
456,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.497288071716109,132.27317857988555,200.0,True,54281.20684261654,54281.20684261654,157834.7691532166,142051.29223789493,506178.8325,455560.94925,0.38212399188675583,0.11915245793560858,0.38212399188675583,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
155,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,101.51891809742911,200.0,True,109556.61772150172,109556.61772150172,332652.98689453886,299387.688205085,665490.2895,598941.26055,0.3659356147152378,0.182917132175695,0.3659356147152378,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
167,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,101.51891809742911,200.0,True,109528.21451684687,109528.21451684687,332652.98689453886,299387.688205085,665490.2895,598941.26055,0.3658407437309794,0.18286970982140807,0.3658407437309794,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
255,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,101.51891809742911,200.0,True,102447.15348484376,102447.15348484376,332652.98689453886,299387.688205085,665490.2895,598941.26055,0.3421889326813798,0.17104707962641924,0.3421889326813798,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
357,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.203049488169275,123.61910259321395,200.0,True,55261.34917453002,55261.34917453002,180707.04585800372,162636.34127220337,506178.8325,455560.94925,0.33978475377799766,0.12130396441026825,0.33978475377799766,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
457,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.203049488169273,123.61910259321391,200.0,True,54998.32333380869,54998.32333380869,180707.04585800384,162636.34127220346,506178.8325,455560.94925,0.33816749014144587,0.12072659744948208,0.33816749014144587,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
267,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.49728807171611,101.51891809742911,200.0,True,99978.78013009929,99978.78013009929,332652.98689453886,299387.688205085,665490.2895,598941.26055,0.3339441936624072,0.16692585185781,0.3339441936624072,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
257,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.203049488169274,94.87696361555923,200.0,True,107040.28833255432,107040.28833255432,363168.6319587262,326851.7687628536,665490.2895,598941.26055,0.3274887840983878,0.17871583639814798,0.3274887840983878,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
369,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.206292904684599,123.71449719660583,200.0,True,52815.554381979375,52815.554381979375,180428.47170250767,162385.62453225692,506178.8325,455560.94925,0.3252477214908139,0.11593521013803045,0.3252477214908139,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
269,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.206292904684598,94.95017843531824,200.0,True,103956.44892589803,103956.44892589803,362829.1883646506,326546.26952818554,665490.2895,598941.26055,0.31835135975094986,0.1735670186262275,0.31835135975094986,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
169,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.206292904684598,94.95017843531824,200.0,True,102780.37256520509,102780.37256520509,362829.1883646506,326546.26952818554,665490.2895,598941.26055,0.31474979859273416,0.17160342647094176,0.31474979859273416,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
469,Contraviento_2,ORC 89 x 4.8,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,15.950000000000001,89.0,73.5,4.8999999999999995,3.4000000000000004,15.0,28.118328025378982,35.14791003172372,compacta,1.0,4.206292904684598,123.7144971966058,200.0,True,51056.05990142608,51056.05990142608,180428.47170250773,162385.62453225694,506178.8325,455560.94925,0.3144124367442642,0.1120729509091611,0.3144124367442642,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
157,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.203049488169274,94.87696361555923,200.0,True,102572.28812236186,102572.28812236186,363168.6319587262,326851.7687628536,665490.2895,598941.26055,0.3138189782805884,0.1712560060199744,0.3138189782805884,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
158,Contraviento_1,ORC 114 x 5.3,SISMO_DOWN_1,I,A500 Gr B,3235.0,2039696.5324550178,20.97,114.0,98.98,4.8999999999999995,4.43,20.2,28.118328025378982,35.14791003172372,compacta,1.0,4.203049488169274,94.87696361555923,200.0,True,101835.18137920611,101835.18137920611,363168.6319587262,326851.7687628536,665490.2895,598941.26055,0.3115638069350402,0.17002532316055866,0.3115638069350402,compresion,Cumple,Demanda axial CQC/envolvente absoluta revisada contra tension y compresion; ruptura neta depende del diseno de conexion.
