rank,factible,cumple_normativa,cumple_dc,dc_calculado,dc_limite,cumple_lrfd_detallado,lrfd_detallado_activo,lrfd_detallado_modo,lrfd_max_util,lrfd_penalizacion,lrfd_error,lrfd_vigas_ir_total,lrfd_vigas_ir_no_cumplen,lrfd_vigas_ir_util_max,lrfd_vigas_ir_elemento_critico,lrfd_vigas_ir_grupo_critico,lrfd_vigas_ir_perfil_critico,lrfd_vigas_ir_estado_limite,lrfd_vigas_ir_mu_kN_m,lrfd_vigas_ir_mr_kN_m,lrfd_columnas_or_total,lrfd_columnas_or_no_cumplen,lrfd_columnas_or_util_max,lrfd_columnas_or_interaccion_max,lrfd_columnas_or_elemento_critico,lrfd_columnas_or_grupo_critico,lrfd_columnas_or_perfil_critico,lrfd_columnas_or_combo_critico,lrfd_contravientos_or_total,lrfd_contravientos_or_no_cumplen,lrfd_contravientos_or_util_max,lrfd_contravientos_or_elemento_critico,lrfd_contravientos_or_grupo_critico,lrfd_contravientos_or_perfil_critico,lrfd_contravientos_or_estado_control,lrfd_contravientos_or_pu_kN,lrfd_contravientos_or_pr_kN,lrfd_contravientos_or_tr_kN,peso_kg,fitness_peso,fitness_dc,fitness_deriva,max_dc,max_dc_combo,max_dc_elemento,max_dc_extremo,max_dc_tipo_revision,max_dc_pu_N,max_dc_muy_Nm,max_dc_muz_Nm,max_dc_phi_pn_N,max_dc_phi_mny_Nm,max_dc_phi_mnz_Nm,max_dc_ratio_axial,max_dc_ratio_my,max_dc_ratio_mz,max_dc_rama,objetivo_dc_meta_util,objetivo_dc_max_util,cumple_objetivo_dc_max,exceso_objetivo_dc,objetivo_dc_equilibrio,cumple_deriva_servicio,deriva_servicio_calculada,deriva_servicio_limite,util_deriva_servicio,cumple_deriva_colapso,deriva_colapso_calculada,deriva_colapso_limite,util_deriva_colapso,factor_inelastico_deriva,deriva_elastica_max,deriva_combo,deriva_nivel,util_servicio,util_colapso,util_deriva,objetivo_deriva_modo,sistema_lateral,objetivo_deriva_min_util,objetivo_deriva_meta_util,cumple_objetivo_deriva_min,deficit_objetivo_deriva,objetivo_deriva_equilibrio,cumple_desplazamiento_azotea,desplazamiento_azotea_calculado_m,desplazamiento_azotea_limite_m,util_desplazamiento_azotea,desp_azotea_m,util_azotea,desp_azotea_combo,cumple_esbeltez,esbeltez_kl_r_calculada,esbeltez_kl_r_limite,util_esbeltez,esbeltez_elemento,esbeltez_kl_r,cumple_cortante_basal,requiere_escalamiento_cortante,factor_cortante,factor_cortante_combo,factor_cortante_direccion,cortante_invalido,cumple_constructibilidad,cumple_espesor_minimo,cumple_lrfd_local,cumple_columna_mismo_perfil_altura,cumple_telescopico,cumple_ancho_nudo,cumple_cfvd,cumple_guillotina,penal_constructibilidad,penal_constructibilidad_letal,penal_embudo,constructibilidad_total,constructibilidad_espesor,constructibilidad_lrfd_local,constructibilidad_columna_mismo_perfil_altura,constructibilidad_telescopico,constructibilidad_ancho_nudo,constructibilidad_cfvd,guillotina,genes,perfiles,Columna_1,Columna_2,Viga_1,Contraviento_1,Contraviento_2,Viga_2
1,True,True,True,0.7594445470362987,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,432,Viga_2,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.41688680460955696,0.41688680460955696,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7586949136254418,156,Contraviento_1,ORC 89 x 4.8,compresion,107.77359289481204,142.05129223789487,455.56094925,43735.42368228144,43735.42368228144,0.002569913695454674,0.0020806815498984063,0.7594445470362987,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,107773.59289481204,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7594445470362987,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.002569913695454674,True,0.0009209223785028192,0.005,0.18418447570056382,True,0.004092988348901419,0.01,0.40929883489014185,4.444444444444445,0.0009209223785028192,SISMO_DOWN_1,Nivel 6.4 m,0.18418447570056382,0.40929883489014185,0.40929883489014185,auto,arriostrado,0.25,0.35,True,0.0,0.0020806815498984063,True,0.009694650845865458,0.1,0.09694650845865457,0.009694650845865458,0.09694650845865457,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 122, 30, 52, 52, 24]","[""ORC 203 x 7.9"", ""ORC 305 x 15.9"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 305 x 15.9,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 38.7
2,True,True,True,0.7757660258397123,1.0,True,True,completo,0.7750002818044875,0.0,,152,0,0.7446149957078021,132,Viga_1,IR 356 x 44.6,PLT,68.74808413584375,93.58292851947972,64,0,0.41924054045643355,0.41924054045643355,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7750002818044875,156,Contraviento_1,ORC 89 x 4.8,compresion,110.08979151506013,142.05129223789487,455.56094925,44332.63268228144,44332.63268228144,0.0009176335993773325,0.002327209699337868,0.7757660258397123,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,110089.79151506013,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7757660258397123,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.0009176335993773325,True,0.0009286053984931035,0.005,0.1857210796986207,True,0.004127135104413793,0.01,0.4127135104413793,4.444444444444445,0.0009286053984931035,SISMO_DOWN_1,Nivel 6.4 m,0.1857210796986207,0.4127135104413793,0.4127135104413793,auto,arriostrado,0.25,0.35,True,0.0,0.002327209699337868,True,0.009790647177563224,0.1,0.09790647177563223,0.009790647177563224,0.09790647177563223,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 121, 30, 52, 52, 30]","[""ORC 203 x 7.9"", ""ORC 254 x 19.1"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 203 x 7.9,ORC 254 x 19.1,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
3,True,True,True,0.738261213898755,1.0,True,True,completo,0.7446149957078021,0.0,,152,0,0.7446149957078021,132,Viga_1,IR 356 x 44.6,PLT,68.74808413584375,93.58292851947972,64,0,0.41208519878082084,0.41208519878082084,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.737532490157123,156,Contraviento_1,ORC 89 x 4.8,compresion,104.7674432942518,142.05129223789487,455.56094925,44337.75268228143,44337.75268228143,0.005955746420711391,0.0015842142990099527,0.738261213898755,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,104767.4432942518,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.738261213898755,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.005955746420711391,True,0.0009039214046555314,0.005,0.1807842809311063,True,0.0040174284651356956,0.01,0.40174284651356956,4.444444444444445,0.0009039214046555314,SISMO_DOWN_1,Nivel 6.4 m,0.1807842809311063,0.40174284651356956,0.40174284651356956,auto,arriostrado,0.25,0.35,True,0.0,0.0015842142990099527,True,0.0094645976436635,0.1,0.09464597643663498,0.0094645976436635,0.09464597643663498,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 120, 30, 52, 52, 30]","[""ORC 203 x 7.9"", ""ORC 356 x 12.7"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 203 x 7.9,ORC 356 x 12.7,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
4,True,True,True,0.6589852106717167,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,432,Viga_2,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.35971826267858487,0.35971826267858487,102,Columna_1,ORC 229 x 7.9,SISMO_DOWN_1,64,0,0.6583347387799797,156,Contraviento_1,ORC 89 x 4.8,compresion,93.51730036879307,142.05129223789487,455.56094925,44435.83968228142,44435.83968228142,0.031070579389531474,7.10873251445937e-05,0.6589852106717167,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,93517.30036879308,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.6589852106717167,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.031070579389531474,True,0.0008121616401763997,0.005,0.16243232803527993,True,0.0036096072896728876,0.01,0.36096072896728876,4.444444444444445,0.0008121616401763997,SISMO_DOWN_1,Nivel 6.4 m,0.16243232803527993,0.36096072896728876,0.36096072896728876,auto,arriostrado,0.25,0.35,True,0.0,7.10873251445937e-05,True,0.008536232247315161,0.1,0.0853623224731516,0.008536232247315161,0.0853623224731516,SISMO_DOWN_1,True,35.633658515572954,200.0,0.17816829257786476,301,35.633658515572954,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[100, 120, 30, 52, 52, 24]","[""ORC 229 x 7.9"", ""ORC 356 x 12.7"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 229 x 7.9,ORC 356 x 12.7,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 38.7
5,True,True,True,0.7590131378266834,1.0,True,True,completo,0.7582639302517333,0.0,,152,0,0.7446149957078021,132,Viga_1,IR 356 x 44.6,PLT,68.74808413584375,93.58292851947972,64,0,0.4161047613989136,0.4161047613989136,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7582639302517333,156,Contraviento_1,ORC 89 x 4.8,compresion,107.7123711496437,142.05129223789487,455.56094925,44611.16068228144,44611.16068228144,0.0026248794856475795,0.002055220191969421,0.7590131378266834,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,107712.3711496437,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7590131378266834,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.0026248794856475795,True,0.0009201035190140834,0.005,0.18402070380281668,True,0.004089348973395926,0.01,0.4089348973395926,4.444444444444445,0.0009201035190140834,SISMO_DOWN_1,Nivel 6.4 m,0.18402070380281668,0.4089348973395926,0.4089348973395926,auto,arriostrado,0.25,0.35,True,0.0,0.002055220191969421,True,0.009660248459371537,0.1,0.09660248459371537,0.009660248459371537,0.09660248459371537,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 122, 30, 52, 52, 30]","[""ORC 203 x 7.9"", ""ORC 305 x 15.9"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 203 x 7.9,ORC 305 x 15.9,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
6,True,True,True,0.7398933806627912,1.0,True,True,completo,0.7446149957078021,0.0,,152,0,0.7446149957078021,132,Viga_1,IR 356 x 44.6,PLT,68.74808413584375,93.58292851947972,64,0,0.369415205721384,0.369415205721384,102,Columna_1,ORC 203 x 9.5,SISMO_DOWN_1,64,0,0.7391630458400826,156,Contraviento_1,ORC 89 x 4.8,compresion,104.99906583608207,142.05129223789487,455.56094925,44632.15268228144,44632.15268228144,0.00564500888773145,0.0013488217629880703,0.7398933806627912,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,104999.06583608207,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7398933806627912,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.00564500888773145,True,0.0008949244534357275,0.005,0.1789848906871455,True,0.0039774420152699,0.01,0.39774420152699,4.444444444444445,0.0008949244534357275,SISMO_DOWN_1,Nivel 6.4 m,0.1789848906871455,0.39774420152699,0.39774420152699,auto,arriostrado,0.25,0.35,True,0.0,0.0013488217629880703,True,0.009395876387817604,0.1,0.09395876387817603,0.009395876387817604,0.09395876387817603,SISMO_DOWN_1,True,40.62978731224983,200.0,0.20314893656124916,301,40.62978731224983,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[101, 117, 30, 52, 52, 30]","[""ORC 203 x 9.5"", ""ORC 305 x 12.7"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 203 x 9.5,ORC 305 x 12.7,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
7,True,True,True,0.7241085435970456,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,432,Viga_2,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.37476703788435445,0.37476703788435445,102,Columna_1,ORC 229 x 7.9,SISMO_DOWN_1,64,0,0.7233937896897517,156,Contraviento_1,ORC 89 x 4.8,compresion,102.75902262229717,142.05129223789487,455.56094925,44709.24768228143,44709.24768228143,0.008999239304627406,0.0011062942345708784,0.7241085435970456,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,102759.02262229717,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7241085435970456,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.008999239304627406,True,0.0008847884299937585,0.005,0.1769576859987517,True,0.0039323930221944825,0.01,0.39323930221944825,4.444444444444445,0.0008847884299937585,SISMO_DOWN_1,Nivel 6.4 m,0.1769576859987517,0.39323930221944825,0.39323930221944825,auto,arriostrado,0.25,0.35,True,0.0,0.0011062942345708784,True,0.009287170788805504,0.1,0.09287170788805504,0.009287170788805504,0.09287170788805504,SISMO_DOWN_1,True,35.633658515572954,200.0,0.17816829257786476,301,35.633658515572954,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[100, 122, 30, 52, 52, 24]","[""ORC 229 x 7.9"", ""ORC 305 x 15.9"", ""IR 356 x 44.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 229 x 7.9,ORC 305 x 15.9,IR 356 x 44.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 38.7
8,True,True,True,0.7224392631703264,1.0,True,True,completo,0.9293813290845796,0.0,,152,0,0.9293813290845796,132,Viga_1,IR 406 x 46.1,PLT,68.83706022271876,74.65788822499593,64,0,0.3642982573258565,0.3642982573258565,102,Columna_1,ORC 203 x 9.5,SISMO_DOWN_1,64,0,0.7217261569783066,156,Contraviento_1,ORC 89 x 4.8,compresion,102.5221332406582,142.05129223789487,455.56094925,45522.73268228143,45522.73268228143,0.009399481089940468,0.0006432530664788461,0.7224392631703264,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,102522.13324065821,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7224392631703264,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.009399481089940468,True,0.0008616851199156074,0.005,0.17233702398312148,True,0.003829711644069367,0.01,0.3829711644069367,4.444444444444445,0.0008616851199156074,SISMO_DOWN_1,Nivel 6.4 m,0.17233702398312148,0.3829711644069367,0.3829711644069367,auto,arriostrado,0.25,0.35,True,0.0,0.0006432530664788461,True,0.009057084964552466,0.1,0.09057084964552466,0.009057084964552466,0.09057084964552466,SISMO_DOWN_1,True,40.62978731224983,200.0,0.20314893656124916,301,40.62978731224983,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[101, 117, 31, 52, 52, 31]","[""ORC 203 x 9.5"", ""ORC 305 x 12.7"", ""IR 406 x 46.1"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 406 x 46.1""]",ORC 203 x 9.5,ORC 305 x 12.7,IR 406 x 46.1,ORC 89 x 4.8,ORC 89 x 4.8,IR 406 x 46.1
9,True,True,True,0.7061168431523156,1.0,True,True,completo,0.7446149957078021,0.0,,152,0,0.7446149957078021,432,Viga_2,IR 356 x 44.6,PLT,68.74808413584375,93.58292851947972,64,0,0.4018728436100254,0.4018728436100254,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.705419848513719,156,Contraviento_1,ORC 89 x 4.8,compresion,100.20580105163383,142.05129223789487,455.56094925,47308.05068228145,47308.05068228145,0.013771948655760811,0.0002781156611640419,0.7061168431523156,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,100205.80105163383,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7061168431523156,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.013771948655760811,True,0.0008362796402564286,0.005,0.16725592805128572,True,0.003716798401139683,0.01,0.3716798401139683,4.444444444444445,0.0008362796402564286,SISMO_DOWN_1,Nivel 6.4 m,0.16725592805128572,0.3716798401139683,0.3716798401139683,auto,arriostrado,0.25,0.35,True,0.0,0.0002781156611640419,True,0.008855927766478179,0.1,0.08855927766478179,0.008855927766478179,0.08855927766478179,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 117, 36, 52, 52, 30]","[""ORC 203 x 7.9"", ""ORC 305 x 12.7"", ""IR 406 x 53.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 203 x 7.9,ORC 305 x 12.7,IR 406 x 53.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
10,True,True,True,0.7759950477506246,1.0,True,True,completo,0.7752290776521842,0.0,,152,0,0.7446149957078021,432,Viga_2,IR 356 x 44.6,PLT,68.74808413584375,93.58292851947972,64,0,0.4183542073402263,0.4183542073402263,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7752290776521842,156,Contraviento_1,ORC 89 x 4.8,compresion,110.12229226088412,142.05129223789487,455.56094925,47321.874682281436,47321.874682281436,0.0009003714570231208,0.0016396042159952057,0.7759950477506246,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,110122.29226088412,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7759950477506246,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.0009003714570231208,True,0.0009059391777262657,0.005,0.18118783554525314,True,0.00402639634545007,0.01,0.402639634545007,4.444444444444445,0.0009059391777262657,SISMO_DOWN_1,Nivel 6.4 m,0.18118783554525314,0.402639634545007,0.402639634545007,auto,arriostrado,0.25,0.35,True,0.0,0.0016396042159952057,True,0.009592342126558828,0.1,0.09592342126558827,0.009592342126558828,0.09592342126558827,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 118, 36, 52, 52, 30]","[""ORC 203 x 7.9"", ""ORC 254 x 15.9"", ""IR 406 x 53.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 356 x 44.6""]",ORC 203 x 7.9,ORC 254 x 15.9,IR 406 x 53.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 356 x 44.6
11,True,True,True,0.7383798874049045,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,432,Viga_2,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.3777720191245778,0.3777720191245778,102,Columna_1,ORC 229 x 7.9,SISMO_DOWN_1,64,0,0.7376510465228895,156,Contraviento_1,ORC 89 x 4.8,compresion,104.78428437921195,142.05129223789487,455.56094925,47419.961682281435,47419.961682281435,0.005932872306612903,0.0007100162338049622,0.7383798874049045,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,104784.28437921195,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7383798874049045,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.005932872306612903,True,0.0008654399296917027,0.005,0.17308798593834054,True,0.003846399687518679,0.01,0.3846399687518679,4.444444444444445,0.0008654399296917027,SISMO_DOWN_1,Nivel 6.4 m,0.17308798593834054,0.3846399687518679,0.3846399687518679,auto,arriostrado,0.25,0.35,True,0.0,0.0007100162338049622,True,0.009170706412497603,0.1,0.09170706412497602,0.009170706412497603,0.09170706412497602,SISMO_DOWN_1,True,35.633658515572954,200.0,0.17816829257786476,301,35.633658515572954,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[100, 118, 36, 52, 52, 24]","[""ORC 229 x 7.9"", ""ORC 254 x 15.9"", ""IR 406 x 53.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 229 x 7.9,ORC 254 x 15.9,IR 406 x 53.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 38.7
12,True,True,True,0.7686442745254709,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,432,Viga_2,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.4164133391455661,0.4164133391455661,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7678855602368546,156,Contraviento_1,ORC 89 x 4.8,compresion,109.07913612246506,142.05129223789487,455.56094925,47464.505682281444,47464.505682281444,0.0015362211250531806,0.0014776895650546473,0.7686442745254709,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,109079.13612246506,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7686442745254709,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.0015362211250531806,True,0.0008999391292434296,0.005,0.17998782584868592,True,0.003999729463304132,0.01,0.39997294633041314,4.444444444444445,0.0008999391292434296,SISMO_DOWN_1,Nivel 6.4 m,0.17998782584868592,0.39997294633041314,0.39997294633041314,auto,arriostrado,0.25,0.35,True,0.0,0.0014776895650546473,True,0.00954246344969752,0.1,0.09542463449697519,0.00954246344969752,0.09542463449697519,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 121, 36, 52, 52, 24]","[""ORC 203 x 7.9"", ""ORC 254 x 19.1"", ""IR 406 x 53.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 254 x 19.1,IR 406 x 53.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 38.7
13,True,True,True,0.7450301543018818,1.0,True,True,completo,0.9362432656622592,0.0,,152,0,0.9362432656622592,432,Viga_2,IR 305 x 38.7,PLT,68.39811152746876,74.43481695900803,64,0,0.4126800420872061,0.4126800420872061,102,Columna_1,ORC 203 x 7.9,SISMO_DOWN_1,64,0,0.7442947490666476,156,Contraviento_1,ORC 89 x 4.8,compresion,105.72803091079699,142.05129223789487,455.56094925,47469.62568228145,47469.62568228145,0.004721381150117077,0.001271612193413,0.7450301543018818,SISMO_DOWN_1,156,i,OR biaxial simetrico: misma capacidad en ambos ejes locales,105728.030910797,0.0,0.0,141911.07608237374,14138.098424999998,14138.098424999998,0.7450301543018818,0.0,0.0,Pu/phiPn >= 0.20: Pu/phiPn + 8/9(My/phiMny + Mz/phiMnz),0.8,0.95,True,0.0,0.004721381150117077,True,0.0008918045400367075,0.005,0.1783609080073415,True,0.0039635757334964775,0.01,0.3963575733496477,4.444444444444445,0.0008918045400367075,SISMO_DOWN_1,Nivel 6.4 m,0.1783609080073415,0.3963575733496477,0.3963575733496477,auto,arriostrado,0.25,0.35,True,0.0,0.001271612193413,True,0.0093994145776638,0.1,0.093994145776638,0.0093994145776638,0.093994145776638,SISMO_DOWN_1,True,40.30410098598426,200.0,0.20152050492992132,301,40.30410098598426,True,False,1.0,,,0.0,True,True,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,"[95, 120, 36, 52, 52, 24]","[""ORC 203 x 7.9"", ""ORC 356 x 12.7"", ""IR 406 x 53.6"", ""ORC 89 x 4.8"", ""ORC 89 x 4.8"", ""IR 305 x 38.7""]",ORC 203 x 7.9,ORC 356 x 12.7,IR 406 x 53.6,ORC 89 x 4.8,ORC 89 x 4.8,IR 305 x 38.7
